City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tacoronte,ES,2021-10-06 14:10:55,28.4769,-16.4102,73.72,72,20,13.0
1,Airai,TL,2021-10-06 14:10:56,-8.9266,125.4092,61.63,91,80,1.7
2,Ushuaia,AR,2021-10-06 14:10:32,-54.8,-68.3,46.06,66,40,8.05
3,Leningradskiy,RU,2021-10-06 14:10:56,69.3833,178.4167,28.0,97,100,9.35
4,Effingham,US,2021-10-06 14:10:56,32.3669,-81.3332,78.84,98,100,5.19
5,Bluff,NZ,2021-10-06 14:10:57,-46.6,168.3333,52.81,93,19,0.27
6,Barrow,US,2021-10-06 14:10:57,71.2906,-156.7887,30.22,86,90,12.66
7,Puerto Ayora,EC,2021-10-06 14:10:57,-0.7393,-90.3518,68.56,95,96,7.0
8,Clyde River,CA,2021-10-06 14:10:57,70.4692,-68.5914,33.51,99,100,8.99
9,Klaksvik,FO,2021-10-06 14:10:58,62.2266,-6.589,47.32,77,88,11.36
10,Storslett,NO,2021-10-06 14:10:58,69.7678,21.0247,46.4,93,75,8.28
11,Isangel,VU,2021-10-06 14:10:58,-19.55,169.2667,74.66,88,2,6.93
12,Yellowknife,CA,2021-10-06 14:07:46,62.456,-114.3525,36.41,100,100,8.43
13,Cape Town,ZA,2021-10-06 14:09:04,-33.9258,18.4232,84.11,46,0,4.0
14,Hilo,US,2021-10-06 14:10:58,19.7297,-155.09,72.81,90,90,5.75
15,Tuktoyaktuk,CA,2021-10-06 14:10:59,69.4541,-133.0374,27.25,85,96,13.58
16,Port Alfred,ZA,2021-10-06 14:07:04,-33.5906,26.891,67.66,76,50,24.05
17,Mataura,NZ,2021-10-06 14:10:59,-46.1927,168.8643,52.48,98,60,0.78
18,Namibe,AO,2021-10-06 14:10:59,-15.1961,12.1522,72.61,61,43,17.63
19,Bethel,US,2021-10-06 14:06:56,41.3712,-73.414,63.64,84,90,0.0
20,Alofi,NU,2021-10-06 14:11:00,-19.0595,-169.9187,76.33,78,23,14.52
21,Poum,NC,2021-10-06 14:11:00,-20.2333,164.0167,74.16,72,0,15.46
22,Lebu,CL,2021-10-06 14:11:00,-37.6167,-73.65,53.06,48,0,11.86
23,Rabat,MA,2021-10-06 14:11:01,33.9911,-6.8401,91.04,53,66,5.75
24,Price,US,2021-10-06 14:09:04,39.5994,-110.8107,52.86,100,90,8.05
25,Syracuse,IT,2021-10-06 14:11:01,37.0881,15.2792,72.43,72,99,15.48
26,Dikson,RU,2021-10-06 14:11:02,73.5069,80.5464,33.94,99,100,6.98
27,Fujin,CN,2021-10-06 14:11:02,47.26,132.0322,44.11,63,100,6.49
28,Abnub,EG,2021-10-06 14:11:02,27.2696,31.1511,87.39,22,0,16.22
29,Iberia,US,2021-10-06 14:11:03,29.9502,-91.7507,73.4,88,1,3.44
30,Kavieng,PG,2021-10-06 14:11:03,-2.5744,150.7967,78.78,82,100,4.07
31,Atuona,PF,2021-10-06 14:11:03,-9.8,-139.0333,78.39,80,89,24.09
32,Bathsheba,BB,2021-10-06 14:11:04,13.2167,-59.5167,85.28,69,22,15.37
33,Albany,US,2021-10-06 14:07:30,42.6001,-73.9662,63.43,95,17,3.42
34,Uvira,CD,2021-10-06 14:11:04,-3.4067,29.1458,79.27,71,45,5.26
35,Chuy,UY,2021-10-06 14:11:04,-33.6971,-53.4616,64.72,55,5,7.49
36,Cidreira,BR,2021-10-06 14:11:04,-30.1811,-50.2056,69.82,65,49,3.8
